eig1   eig2   A
(0.395108674911+0.358481835774j) (0.395108674911-0.358481835774j) 0.25778
(0.395889688546+0.357619135496j) (0.395889688546-0.357619135496j) 0.25779
(0.396671024934+0.356752280368j) (0.396671024934-0.356752280368j) 0.2578
(0.397452684061+0.355881237919j) (0.397452684061-0.355881237919j) 0.25781
(0.398234665915+0.355005975209j) (0.398234665915-0.355005975209j) 0.25782
(0.399016970482+0.354126458821j) (0.399016970482-0.354126458821j) 0.25783
(0.399799597751+0.353242654853j) (0.399799597751-0.353242654853j) 0.25784
(0.400582547708+0.352354528907j) (0.400582547708-0.352354528907j) 0.25785
(0.401365820341+0.351462046076j) (0.401365820341-0.351462046076j) 0.25786
(0.402149415637+0.350565170935j) (0.402149415637-0.350565170935j) 0.25787
(0.402933333584+0.349663867532j) (0.402933333584-0.349663867532j) 0.25788
(0.403717574168+0.348758099372j) (0.403717574168-0.348758099372j) 0.25789
(0.404502137377+0.347847829413j) (0.404502137377-0.347847829413j) 0.2579
(0.405287020273+0.346933023462j) (0.405287020273-0.346933023462j) 0.25791
(0.406072229489+0.34601363558j) (0.406072229489-0.34601363558j) 0.25792
(0.406857760982+0.345089631688j) (0.406857760982-0.345089631688j) 0.25793
(0.407643615002+0.344160972102j) (0.407643615002-0.344160972102j) 0.25794
(0.408429791632+0.343227616717j) (0.408429791632-0.343227616717j) 0.25795
(0.40921629086+0.342289524912j) (0.40921629086-0.342289524912j) 0.25796
(0.41000313999+0.341346622611j) (0.41000313999-0.341346622611j) 0.25797
(0.410790284475+0.340398933239j) (0.410790284475-0.340398933239j) 0.25798
(0.411577751515+0.339446381668j) (0.411577751515-0.339446381668j) 0.25799
(0.412365541096+0.338488924615j) (0.412365541096-0.338488924615j) 0.258
(0.413153653203+0.337526518091j) (0.413153653203-0.337526518091j) 0.25801
(0.41394216001+0.336559028606j) (0.41394216001-0.336559028606j) 0.25802
(0.414730882181+0.335586631043j) (0.414730882181-0.335586631043j) 0.25803
(0.415519892396+0.334609190838j) (0.415519892396-0.334609190838j) 0.25804
(0.416309342731+0.333626471858j) (0.416309342731-0.333626471858j) 0.25805
(0.417099085998+0.332638608747j) (0.417099085998-0.332638608747j) 0.25806
(0.417889098174+0.331645583715j) (0.417889098174-0.331645583715j) 0.25807
(0.4186794676+0.330647236463j) (0.4186794676-0.330647236463j) 0.25808
(0.419470159448+0.329643560384j) (0.419470159448-0.329643560384j) 0.25809
(0.420261173705+0.328634504345j) (0.420261173705-0.328634504345j) 0.2581
(0.421052510358+0.327620016316j) (0.421052510358-0.327620016316j) 0.25811
(0.421844169395+0.326600043351j) (0.421844169395-0.326600043351j) 0.25812
(0.422636150803+0.325574531566j) (0.422636150803-0.325574531566j) 0.25813
(0.42342845457+0.324543426109j) (0.42342845457-0.324543426109j) 0.25814
(0.424221080682+0.323506671144j) (0.424221080682-0.323506671144j) 0.25815
(0.425014029128+0.322464209819j) (0.425014029128-0.322464209819j) 0.25816
(0.425807299896+0.321415984241j) (0.425807299896-0.321415984241j) 0.25817
(0.426600892972+0.32036193545j) (0.426600892972-0.32036193545j) 0.25818
(0.427394808345+0.319302003391j) (0.427394808345-0.319302003391j) 0.25819
(0.428189046003+0.318236126882j) (0.428189046003-0.318236126882j) 0.2582
