eig1   eig2   A
(-0.699810235757+0.209197540726j) (-0.699810235757-0.209197540726j) 0.20294
(-0.69995230973+0.208721683633j) (-0.69995230973-0.208721683633j) 0.20295
(-0.700094390219+0.208244620336j) (-0.700094390219-0.208244620336j) 0.20296
(-0.700236477223+0.207766342514j) (-0.700236477223-0.207766342514j) 0.20297
(-0.700378570742+0.207286841745j) (-0.700378570742-0.207286841745j) 0.20298
(-0.700520670776+0.206806109511j) (-0.700520670776-0.206806109511j) 0.20299
(-0.700662777325+0.20632413719j) (-0.700662777325-0.20632413719j) 0.203
(-0.700804890388+0.205840916058j) (-0.700804890388-0.205840916058j) 0.20301
(-0.700947009966+0.205356437286j) (-0.700947009966-0.205356437286j) 0.20302
(-0.701089136059+0.204870691939j) (-0.701089136059-0.204870691939j) 0.20303
(-0.701231268666+0.204383670972j) (-0.701231268666-0.204383670972j) 0.20304
(-0.701373407788+0.203895365232j) (-0.701373407788-0.203895365232j) 0.20305
(-0.701515553424+0.203405765453j) (-0.701515553424-0.203405765453j) 0.20306
(-0.701657705575+0.202914862253j) (-0.701657705575-0.202914862253j) 0.20307
(-0.70179986424+0.202422646136j) (-0.70179986424-0.202422646136j) 0.20308
(-0.701942029418+0.201929107489j) (-0.701942029418-0.201929107489j) 0.20309
(-0.702084201112+0.201434236576j) (-0.702084201112-0.201434236576j) 0.2031
(-0.702226379319+0.200938023541j) (-0.702226379319-0.200938023541j) 0.20311
(-0.70236856404+0.200440458401j) (-0.70236856404-0.200440458401j) 0.20312
(-0.702510755275+0.19994153105j) (-0.702510755275-0.19994153105j) 0.20313
(-0.702652953024+0.19944123125j) (-0.702652953024-0.19944123125j) 0.20314
(-0.702795157286+0.198939548634j) (-0.702795157286-0.198939548634j) 0.20315
(-0.702937368062+0.198436472698j) (-0.702937368062-0.198436472698j) 0.20316
(-0.703079585352+0.197931992806j) (-0.703079585352-0.197931992806j) 0.20317
(-0.703221809156+0.197426098181j) (-0.703221809156-0.197426098181j) 0.20318
(-0.703364039473+0.196918777906j) (-0.703364039473-0.196918777906j) 0.20319
(-0.703506276303+0.19641002092j) (-0.703506276303-0.19641002092j) 0.2032
(-0.703648519647+0.195899816014j) (-0.703648519647-0.195899816014j) 0.20321
(-0.703790769504+0.195388151834j) (-0.703790769504-0.195388151834j) 0.20322
(-0.703933025874+0.194875016869j) (-0.703933025874-0.194875016869j) 0.20323
(-0.704075288757+0.194360399458j) (-0.704075288757-0.194360399458j) 0.20324
(-0.704217558153+0.193844287778j) (-0.704217558153-0.193844287778j) 0.20325
(-0.704359834062+0.193326669849j) (-0.704359834062-0.193326669849j) 0.20326
(-0.704502116485+0.192807533526j) (-0.704502116485-0.192807533526j) 0.20327
(-0.70464440542+0.192286866495j) (-0.70464440542-0.192286866495j) 0.20328
(-0.704786700867+0.191764656275j) (-0.704786700867-0.191764656275j) 0.20329
(-0.704929002828+0.191240890209j) (-0.704929002828-0.191240890209j) 0.2033
(-0.705071311301+0.190715555465j) (-0.705071311301-0.190715555465j) 0.20331
(-0.705213626286+0.190188639029j) (-0.705213626286-0.190188639029j) 0.20332
(-0.705355947784+0.189660127705j) (-0.705355947784-0.189660127705j) 0.20333
(-0.705498275795+0.189130008106j) (-0.705498275795-0.189130008106j) 0.20334
(-0.705640610317+0.188598266658j) (-0.705640610317-0.188598266658j) 0.20335
(-0.705782951352+0.188064889588j) (-0.705782951352-0.188064889588j) 0.20336
(-0.7059252989+0.187529862926j) (-0.7059252989-0.187529862926j) 0.20337
(-0.706067652959+0.186993172497j) (-0.706067652959-0.186993172497j) 0.20338
(-0.70621001353+0.186454803921j) (-0.70621001353-0.186454803921j) 0.20339
(-0.706352380614+0.185914742603j) (-0.706352380614-0.185914742603j) 0.2034
(-0.706494754209+0.185372973734j) (-0.706494754209-0.185372973734j) 0.20341
(-0.706637134316+0.184829482284j) (-0.706637134316-0.184829482284j) 0.20342
(-0.706779520935+0.184284252998j) (-0.706779520935-0.184284252998j) 0.20343
(-0.706921914065+0.183737270389j) (-0.706921914065-0.183737270389j) 0.20344
(-0.707064313707+0.183188518738j) (-0.707064313707-0.183188518738j) 0.20345
(-0.707206719861+0.182637982083j) (-0.707206719861-0.182637982083j) 0.20346
(-0.707349132526+0.182085644218j) (-0.707349132526-0.182085644218j) 0.20347
